"id";"line";"country";"code";"localityFR";"localityNL";"created_at";"updated_at"
1;1;"BE";"1000";"BRUXELLES";"BRUSSEL";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
2;2;"BE";"1005";"Assemblée Réunie de la Commission Communautaire";"Verenigde Vergadering van de Gemeenschappelijke";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
3;3;"BE";"1006";"Raad van de Vlaamse Gemeenschapscommissie";"Raad van de Vlaamse Gemeenschapscommissie";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
4;4;"BE";"1007";"Assemblée de la Commission Communautaire Française";"Assemblée de la Commission Communautaire Française";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
5;5;"BE";"1008";"Chambre des Représentants";"Kamer van Volksvertegenwoordigers";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
6;6;"BE";"1009";"Senat de Belgique";"Belgische Senaat";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
7;7;"BE";"1011";"Vlaams parlement";"Vlaams Parlement";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
8;8;"BE";"1012";"Parlement de la Communauté française";"Parlement de la communauté française";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
9;9;"BE";"1020";"Laeken";"Laken";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
10;10;"BE";"1030";"SCHAERBEEK";"SCHAARBEEK";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
11;11;"BE";"1031";"Organisations Sociales Chrétiennes";"Christelijke Sociale Organisaties";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
12;12;"BE";"1033";"RTL-TVI";"RTL-TVI";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
13;13;"BE";"1035";"Ministère de la Région de Bruxelles Capitale";"Ministerie van het Brussels Hoofdstedelijk Gewest";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
14;14;"BE";"1040";"ETTERBEEK";"ETTERBEEK";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
15;15;"BE";"1041";"International Press Center";"International press center";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
16;16;"BE";"1043";"VRT";"VRT";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
17;17;"BE";"1044";"RTBF";"RTBF";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
18;18;"BE";"1046";"European External Action Service";"European External Action Service";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
19;19;"BE";"1047";"Parlement Européen";"Europees Parlement";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
20;20;"BE";"1048";"Union Européenne - Conseil";"Europese unie - Raad";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
21;21;"BE";"1049";"Union Européenne - Commission";"Europese unie - Commissie";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
22;22;"BE";"1050";"IXELLES";"ELSENE";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
23;23;"BE";"1060";"SAINT-GILLES";"SINT-GILLIS";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
24;24;"BE";"1070";"ANDERLECHT";"ANDERLECHT";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
25;25;"BE";"1080";"MOLENBEEK-SAINT-JEAN";"SINT-JANS-MOLENBEEK";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
26;26;"BE";"1081";"KOEKELBERG";"KOEKELBERG";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
27;27;"BE";"1082";"BERCHEM-SAINTE-AGATHE";"SINT-AGATHA-BERCHEM";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
28;28;"BE";"1083";"GANSHOREN";"GANSHOREN";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
29;29;"BE";"1090";"JETTE";"JETTE";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
30;30;"BE";"1099";"Bruxelles X";"Brussel X";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
31;31;"BE";"1100";"Postcheque";"Postcheque";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
32;32;"BE";"1101";"Scanning";"Scanning";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
33;33;"BE";"1105";"SOC";"SOC";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
34;34;"BE";"1110";"OTAN";"NATO";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
35;35;"BE";"1120";"Neder-Over-Heembeek";"Neder-Over-Heembeek";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
36;36;"BE";"1130";"Haren";"Haren";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
37;37;"BE";"1140";"EVERE";"EVERE";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
38;38;"BE";"1150";"WOLUWE-SAINT-PIERRE";"SINT-PIETERS-WOLUWE";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
39;39;"BE";"1160";"AUDERGHEM";"OUDERGEM";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
40;40;"BE";"1170";"WATERMAEL-BOITSFORT";"WATERMAAL-BOSVOORDE";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
41;41;"BE";"1180";"UCCLE";"UKKEL";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
42;42;"BE";"1190";"FOREST";"VORST";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
43;43;"BE";"1200";"WOLUWE-SAINT-LAMBERT";"SINT-LAMBRECHTS-WOLUWE";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
44;44;"BE";"1210";"SAINT-JOSSE-TEN-NOODE";"SINT-JOOST-TEN-NOODE";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
45;45;"BE";"1212";"SPF Mobilité";"FOD Mobiliteit";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
46;46;"BE";"1300";"Limal";"Limal";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
47;47;"BE";"1300";"WAVRE";"WAVRE";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
48;48;"BE";"1301";"Bierges";"Bierges";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
49;49;"BE";"1310";"LA HULPE";"LA HULPE";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
50;50;"BE";"1315";"Glimes";"Glimes";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
51;51;"BE";"1315";"INCOURT";"INCOURT";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
52;52;"BE";"1315";"Opprebais";"Opprebais";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
53;53;"BE";"1315";"Piètrebais";"Piètrebais";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
54;54;"BE";"1315";"Roux-Miroir";"Roux-Miroir";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
55;55;"BE";"1320";"BEAUVECHAIN";"BEAUVECHAIN";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
56;56;"BE";"1320";"Hamme-Mille";"Hamme-Mille";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
57;57;"BE";"1320";"L'Ecluse";"L'Ecluse";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
58;58;"BE";"1320";"Nodebais";"Nodebais";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
59;59;"BE";"1320";"Tourinnes-La-Grosse";"Tourinnes-La-Grosse";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
60;60;"BE";"1325";"Bonlez";"Bonlez";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
61;61;"BE";"1325";"CHAUMONT-GISTOUX";"CHAUMONT-GISTOUX";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
62;62;"BE";"1325";"Corroy-Le-Grand";"Corroy-Le-Grand";"2018-07-25 09:00:37";"2018-07-25 09:01:28"
63;63;"BE";"1325";"Dion-Valmont";"Dion-Valmont";"2018-07-25 09:00:38";"2018-07-25 09:01:28"
64;64;"BE";"1325";"Longueville";"Longueville";"2018-07-25 09:00:38";"2018-07-25 09:01:28"
65;65;"BE";"1330";"RIXENSART";"RIXENSART";"2018-07-25 09:00:38";"2018-07-25 09:01:28"
66;66;"BE";"1331";"Rosières";"Rosières";"2018-07-25 09:00:38";"2018-07-25 09:01:28"
67;67;"BE";"1332";"Genval";"Genval";"2018-07-25 09:00:38";"2018-07-25 09:01:28"
68;68;"BE";"1340";"Ottignies";"Ottignies";"2018-07-25 09:00:38";"2018-07-25 09:01:28"
69;69;"BE";"1340";"OTTIGNIES-LOUVAIN-LA-NEUVE";"OTTIGNIES-LOUVAIN-LA-NEUVE";"2018-07-25 09:00:38";"2018-07-25 09:01:28"
70;70;"BE";"1341";"Céroux-Mousty";"Céroux-Mousty";"2018-07-25 09:00:38";"2018-07-25 09:01:28"
71;71;"BE";"1342";"Limelette";"Limelette";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
72;72;"BE";"1348";"Louvain-La-Neuve";"Louvain-La-Neuve";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
73;73;"BE";"1350";"Enines";"Enines";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
74;74;"BE";"1350";"Folx-Les-Caves";"Folx-Les-Caves";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
75;75;"BE";"1350";"Jandrain-Jandrenouille";"Jandrain-Jandrenouille";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
76;76;"BE";"1350";"Jauche";"Jauche";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
77;77;"BE";"1350";"Marilles";"Marilles";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
78;78;"BE";"1350";"Noduwez";"Noduwez";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
79;79;"BE";"1350";"ORP-JAUCHE";"ORP-JAUCHE";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
80;80;"BE";"1350";"Orp-Le-Grand";"Orp-Le-Grand";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
81;81;"BE";"1357";"HÉLÉCINE";"HÉLÉCINE";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
82;82;"BE";"1357";"Linsmeau";"Linsmeau";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
83;83;"BE";"1357";"Neerheylissem";"Neerheylissem";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
84;84;"BE";"1357";"Opheylissem";"Opheylissem";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
85;85;"BE";"1360";"Malèves-Sainte-Marie-Wastines";"Malèves-Sainte-Marie-Wastines";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
86;86;"BE";"1360";"Orbais";"Orbais";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
87;87;"BE";"1360";"PERWEZ";"PERWEZ";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
88;88;"BE";"1360";"Thorembais-Les-Béguines";"Thorembais-Les-Béguines";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
89;89;"BE";"1360";"Thorembais-Saint-Trond";"Thorembais-Saint-Trond";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
90;90;"BE";"1367";"Autre-Eglise";"Autre-Eglise";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
91;91;"BE";"1367";"Bomal";"Bomal";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
92;92;"BE";"1367";"Geest-Gérompont-Petit-Rosière";"Geest-Gérompont-Petit-Rosière";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
93;93;"BE";"1367";"Gérompont";"Gérompont";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
94;94;"BE";"1367";"Grand-Rosière-Hottomont";"Grand-Rosière-Hottomont";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
95;95;"BE";"1367";"Huppaye";"Huppaye";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
96;96;"BE";"1367";"Mont-Saint-André";"Mont-Saint-André";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
97;97;"BE";"1367";"RAMILLIES";"RAMILLIES";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
98;98;"BE";"1370";"Dongelberg";"Dongelberg";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
99;99;"BE";"1370";"Jauchelette";"Jauchelette";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
100;100;"BE";"1370";"JODOIGNE";"JODOIGNE";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
